Algorithm,Runtime,Data size,Log Time
merge, 4104, 452076, 2020-02-18 22:35:36.654320
merge, 8715, 904153, 2020-02-18 22:35:45.390820
bubble, 1280, 1765, 2020-02-18 22:35:46.703895
bubble, 5105, 3531, 2020-02-18 22:35:51.809187
bubble, 20086, 7063, 2020-02-18 22:36:11.897336
bubble, 80293, 14127, 2020-02-18 22:37:32.191929
quick, 6, 1765, 2020-02-18 22:42:32.208089
quick, 27, 3531, 2020-02-18 22:42:32.235090
quick, 29, 7063, 2020-02-18 22:42:32.266092
quick, 89, 14127, 2020-02-18 22:42:32.355097
quick, 269, 28254, 2020-02-18 22:42:32.626113
quick, 860, 56509, 2020-02-18 22:42:33.488162
